depth_m,salinity_gkg,excess_gkg,density,Tdeg
15.75,36.74573320091575,0.5882332009157523,1026.702385540834,16.14362357239989
14.25,36.745784026065785,0.6032840260657863,1026.7024113224654,16.143701168574193
12.75,36.74582182932953,0.6183218293295312,1026.7023998397867,16.14393113542744
11.25,36.7458288555007,0.6333288555007002,1026.7023379152554,16.14430979721404
9.75,36.74579809732529,0.648298097325295,1026.7022196513813,16.14483961504132
8.25,36.745728097948025,0.6632280979480285,1026.7020437905305,16.14552127226685
6.75,36.74562129860715,0.6781212986071452,1026.7018140863058,16.146344357038437
5.25,36.74548454850353,0.6929845485035315,1026.7015417268535,16.14727598124021
3.75,36.745330847577264,0.707830847577263,1026.7012489957096,16.14824784502981
2.25,36.7451815577826,0.7226815577826002,1026.700973224569,16.14914371391741
0.75,36.74506834320677,0.7375683432067675,1026.7007699001501,16.149790460774
