threshold_dS_gkg,footprint_area_m2,equiv_radius_m,dilution_at_threshold
0.10,7939.9,50.27,315.0
0.20,5127.4,40.40,157.5
0.30,3591.3,33.81,105.0
0.40,2899.0,30.38,78.8
0.50,2488.0,28.14,63.0
0.60,2228.4,26.63,52.5
0.70,1795.7,23.91,45.0
0.80,1384.6,20.99,39.4
0.90,0.0,0.00,35.0
1.00,0.0,0.00,31.5
