depth_m,salinity_gkg,excess_gkg,density,Tdeg
21.75,38.72995718021641,2.5124571802164084,1027.2880885368538,21.20532532478182
20.25,37.46490002602009,1.2624000260200887,1026.463017709346,20.40119121369838
18.75,36.91328615848241,0.725786158482407,1026.1058461487726,20.03256964503729
17.25,36.67418283176838,0.5016828317683775,1025.9540042792557,19.856527513854136
15.75,36.54471729493341,0.3872172949334143,1025.873544282987,19.751875899229407
14.25,36.47583303962835,0.33333303962835004,1025.8307383588399,19.696067111345958
12.75,36.433250389504906,0.30575038950490807,1025.8042068888547,19.661890015827222
11.25,36.40485274087009,0.29235274087009344,1025.7864190809516,19.639568882065674
9.75,36.38552828085018,0.2880282808501846,1025.7741855701124,19.62503746166328
8.25,36.37220752508739,0.28970752508739395,1025.7656135681832,19.615735176826448
6.75,36.36300728759273,0.29550728759272715,1025.759578022083,19.609902690626832
5.25,36.35675512355752,0.3042551235575175,1025.7554182266686,19.60623897701361
3.75,36.35267357985712,0.3151735798571167,1025.752682364223,19.603951521037303
2.25,36.35024147924154,0.3277414792415385,1025.7510491148812,19.602603938587944
0.75,36.34913211874296,0.3416321187429574,1025.7503049825202,19.601984885754927
