distance_m,excess_gkg,dilution,core_depth_m
-135.09397424683746,0.0004815729224816323,60203.758655275735,0.75
-126.76064091350412,0.0034736564097244127,8316.16504128911,11.25
-118.42730758017078,0.014957902750239782,1938.2730643529044,0.75
-110.09397424683745,0.2644264641745764,109.189146744927,12.75
-101.76064091350412,0.2697686234848007,107.08250509951385,11.25
-93.42730758017078,0.27326344087443033,106.09725145531851,0.75
-85.09397424683745,0.3578816082218381,80.6761211995643,12.75
-76.76064091350412,0.8508849463700372,33.91469096157955,14.25
-68.42730758017078,0.5110142311897192,56.4710300392522,14.25
-60.09397424683745,0.7998050931616589,36.080665460537695,14.25
-51.76064091350412,1.1202871980812645,25.75901969550732,14.25
-43.427307580170776,1.5401590937121483,18.726961466352638,15.75
-35.09397424683745,0.839555595279343,34.35448487530277,15.75
-26.760640913504105,0.7385724578519586,39.254780884086706,0.75
-18.427307580170776,0.7394882410006645,39.2061677150779,0.75
-10.093974246837433,0.7395249769503067,39.204220146236096,0.75
-1.760640913504119,0.7395254974371213,39.20419255384107,0.75
6.572692419829224,0.7395181282091059,39.204583219901934,0.75
14.906025753162567,0.7391388517404778,39.22470038170809,0.75
23.23935908649588,0.7304656629287294,39.690435117452964,0.75
31.572692419829224,0.6673428788013283,43.44468326698251,0.75
39.90602575316257,0.5387003592867927,53.819344093967835,0.75
48.23935908649588,0.45092705908251673,64.29532097494854,0.75
56.572692419829224,0.4134567138220788,70.12221359761551,0.75
64.90602575316257,0.39461190449618044,73.47092084567517,0.75
73.23935908649591,1.406036526217406,20.481331361620143,20.25
81.57269241982922,0.9272246765061354,31.057736845951435,20.25
89.90602575316257,0.3961471619149606,72.6939449996157,20.25
98.23935908649591,0.35975238503269935,80.5901536896406,0.75
106.57269241982922,0.36413837579615915,79.61945767624805,0.75
114.90602575316257,0.3785470206416903,76.58890023980018,0.75
123.23935908649588,0.40410040977960193,71.74578223222449,0.75
131.57269241982925,0.43648706631874745,66.42235758442392,0.75
139.90602575316257,0.4674487466964976,62.0228425145914,0.75
148.23935908649588,0.4906244670967581,59.09305781581062,0.75
156.57269241982925,0.5049473952898396,57.41687207507689,0.75
164.90602575316257,0.5123238715940133,56.590179781774566,0.75
173.23935908649588,0.5151633385319485,56.27826716594274,0.75
181.57269241982925,0.5156542386194047,56.22469055548451,0.75
189.90602575316257,0.5137999730944216,56.42760124215113,0.75
198.23935908649588,0.5079097532688124,57.081991069101704,0.75
206.57269241982925,0.4930404385893965,58.80349304196713,0.75
214.90602575316257,0.49987023113106943,57.51992859214875,24.75
223.23935908649588,0.6347494256859108,45.297402150352525,24.75
231.57269241982925,0.571815850614044,50.25656418782421,26.25
239.90602575316257,0.12303887834529093,233.5643853916836,26.25
248.23935908649588,0.022135230402959394,1309.7898450663436,0.75
256.57269241982925,0.01320895121497756,2194.913095532184,0.75
