t_s,dt_s,S_max,excess_max,r_max_m,z_deepest_m,seabed_footprint_m2,dilution_min,max_divergence
0.1,0.0840,35.7757,0.1884,0.000,0.000,0.00,166.759,2.69e-15
20.1,0.0840,36.4290,0.9815,26.488,23.558,2076.92,32.153,1.20e-16
40.1,0.0840,36.4290,0.9974,30.899,23.558,2661.06,31.654,1.62e-16
60.1,0.0840,36.4290,1.0034,38.223,23.558,3548.08,31.475,1.56e-16
80.1,0.0840,36.4290,1.0125,47.656,23.558,4088.94,31.205,1.63e-16
100.1,0.0840,36.4290,1.0157,57.098,24.519,5040.87,31.109,1.67e-16
120.1,0.0840,36.4290,1.0114,63.740,24.519,5949.52,31.241,2.78e-16
140.1,0.0840,36.4290,1.0037,70.428,24.519,6620.19,31.480,4.10e-16
160.1,0.0840,36.4290,0.9977,78.886,24.519,7052.88,31.668,4.36e-16
180.1,0.0840,36.4290,0.9970,88.047,24.519,6793.27,31.677,5.67e-16
200.1,0.0840,36.4290,0.9987,95.824,24.519,6100.96,31.637,7.29e-16
